Author(S),Original Language,Approximate Sales,First Published,Book Title
Charles Dickens,English,200000000,1859,A Tale of Two Cities
Antoine de Saint-Exupéry,French,200000000,1943,The Little Prince (Le Petit Prince)
Paulo Coelho,Portuguese,150000000,1988,The Alchemist (O Alquimista)
J. K. Rowling,English,120000000,1997,Harry Potter and the Philosopher's Stone
Agatha Christie,English,100000000,1939,And Then There Were None
Cao Xueqin,Chinese,100000000,1791,Dream of the Red Chamber (紅樓夢)
J. R. R. Tolkien,English,100000000,1937,The Hobbit
Lewis Carroll,English,100000000,1865,Alice's Adventures in Wonderland
H. Rider Haggard,English,83000000,1887,She: A History of Adventure
Dan Brown,English,80000000,2003,The Da Vinci Code
J. K. Rowling,English,77000000,1998,Harry Potter and the Chamber of Secrets
J. D. Salinger,English,65000000,1951,The Catcher in the Rye
J. K. Rowling,English,65000000,1999,Harry Potter and the Prisoner of Azkaban
J. K. Rowling,English,65000000,2000,Harry Potter and the Goblet of Fire
J. K. Rowling,English,65000000,2003,Harry Potter and the Order of Phoenix
J. K. Rowling,English,65000000,2005,Harry Potter and the Half-Blood Prince
J. K. Rowling,English,65000000,2007,Harry Potter and the Deathly Hallows
Jostein Gaarder,Norwegian,60000000,1991,Sophie's World (Sofies verden)
Robert James Waller,English,60000000,1992,The Bridges of Madison County
Gabriel García Márquez,Spanish,50000000,1967,One Hundred Years of Solitude (Cien años de soledad)
Vladimir Nabokov,English,50000000,1955,Lolita
Johanna Spyri,German,50000000,1880,Heidi
Benjamin Spock,English,50000000,1946,The Common Sense Book of Baby and Child Care
Lucy Maud Montgomery,English,50000000,1908,Anne of Green Gables
Anna Sewell,English,50000000,1877,Black Beauty
Umberto Eco,Italian,50000000,1980,The Name of the Rose (Il Nome della Rosa)
Jack Higgins,English,50000000,1975,The Eagle Has Landed
Richard Adams,English,50000000,1972,Watership Down
Shere Hite,English,50000000,1976,The Hite Report
E. B. White,English,50000000,1952,Charlotte's Web
J. P. Donleavy,English,50000000,1955,The Ginger Man
Rick Warren,English,50000000,2002,The Purpose Driven Life
Beatrix Potter,English,45000000,1902,The Tale of Peter Rabbit
Richard Bach,English,44000000,1970,Jonathan Livingston Seagull
Eric Carle,English,43000000,1969,The Very Hungry Caterpillar
Elbert Hubbard,English,40000000,1899,A Message to Garcia
Harper Lee,English,40000000,1960,To Kill a Mockingbird
V. C. Andrews,English,40000000,1979,Flowers in the Attic
Carl Sagan,English,40000000,1980,Cosmos
Dan Brown,English,39000000,2000,Angels & Demons
William Griffith Wilson,English,37000000,1939,Alcoholics Anonymous
Jeffrey Archer,English,37000000,1979,Kane and Abel
Erica Jong,English,37000000,1973,Fear of Flying
Nikolai Ostrovsky,Russian,36400000,1932,How the Steel Was Tempered (Как закалялась сталь)
Leo Tolstoy,Russian,36000000,1869,War and Peace (Война и мир)
Carlo Collodi,Italian,35000000,1881,The Adventures of Pinocchio (Le avventure di Pinocchio)
Anne Frank,Dutch,35000000,1947,The Diary of Anne Frank (Het Achterhuis)
Wayne Dyer,English,35000000,1976,Your Erroneous Zones
Colleen McCullough,English,33000000,1977,The Thorn Birds
Khaled Hosseini,English,31500000,2003,The Kite Runner
Jacqueline Susann,English,31000000,1966,Valley of the Dolls
Dale Carnegie,English,37000000,1936,How to Win Friends and Influence People
F. Scott Fitzgerald,English,30000000,1925,The Great Gatsby
Margaret Mitchell,English,30000000,1936,Gone with the Wind
